WaferID,Wavelength (nm),Cartridge ID,Minumum value,Mamimum Value,Range (nm),Standard Deviation (nm),Bin Number,Sub Bin,Availability
A022520B09,525.3458333333333,F13,524.21,526.3,2.089999999999918,0.6460322274382807,52,A,Available
A022520B09,525.2283333333334,G13,523.76,526.87,3.1100000000000136,0.8436807584757657,51,B,Available
A022520B09,525.2533333333333,D12,524.32,526.35,2.0299999999999727,0.5921758372495666,51,B,Available
A022520B09,525.444375,C11,523.7,526.85,3.1499999999999773,0.8014827567546252,52,A,Available
A022520B09,525.4408333333332,B9,524.0,526.9,2.8999999999999773,0.8641128237806772,52,A,Available
A022520B09,525.21,H4,524.15,526.63,2.480000000000018,0.7739832039521315,51,B,Available
A022520B09,525.4366666666667,E2,523.71,527.24,3.5299999999999727,1.0343382210648262,52,A,Available
A022520B04,525.584375,D11,524.8,526.18,1.3799999999999957,0.4136569948338958,52,B,Available
A022520B04,525.1841666666666,H8,524.54,525.64,1.1000000000000227,0.3735741410869966,51,B,Available
A022520B04,525.2541666666667,H7,524.63,525.86,1.2300000000000182,0.4066419049838389,51,B,Available
A022520B04,525.1533333333334,H6,524.58,525.7,1.1200000000000043,0.377432849067958,51,B,Available
A022520B04,525.5400000000001,D5,524.46,526.26,1.7999999999999543,0.5052392172690671,52,B,Available
A022530A04,525.47375,E11,524.78,526.2,1.4200000000000728,0.4293436123899068,52,B,Available
A022530A04,525.3816666666667,C8,524.82,525.92,1.099999999999909,0.3118181450069079,52,A,Available
A022530A04,525.32,I8,524.18,526.04,1.8600000000000136,0.5914389233048634,52,A,Available
A022530A04,525.5941666666666,C5,524.62,526.62,2.0,0.6480928217127196,52,B,Available
A022530A04,525.1700000000001,I5,524.5,525.94,1.4400000000000546,0.4163131833928155,51,B,Available
A022530A04,525.365,H4,524.63,526.38,1.75,0.6227425899465386,52,A,Available
